Année;Livraison;Date;Numéro;Page;Catégorie;Sous-Catégorie;Langue;Titre;Auteur;Identifiant auteur;Identifiant ouvrage;Posture;Affichage identitaire;Traducteur;Identifiant traducteur;Para-auteur;Identifiant para-auteur;Nb de feuilles;Fraction;Nombre de pages;Volumes;Calcul;Format;Tirage 1;Illustration 1;Nombre d'illustrations 1;Type de papier 1;Prix 1;Tirage 2;Illustration 2;Nombre d'illustrations 2;Type de papier 2;Prix 2;Tirage 3;Illustration 3;Nombre d'illustrations 3;Type de papier 3;Prix 3;Tirage 4;Type de papier 4;Tirage 5;Type de papier 5;Tirage 6;Type de papier 6;Tirage 7;Type de papier 7;Tirage 8;Type de papier 8;Tirage 9;Type de papier 9;Edition;Lieu d'édition;Impression;Lieu d'impression;Librairie 1;Lieu de vente 1;Librairie 2;Lieu de vente 2;Librairie 3;Lieu de vente 3;Librairie 4;Lieu de vente 4;Librairie 5;Lieu de vente 5;Librairie 6;Lieu de vente 6;Librairie 7;Lieu de vente 7;Librairie 8;Lieu de vente 8;Librairie 9;Lieu de vente 9;Commentaires des bibliographes contenus dans la notice;Notes (e-BdF);;;;;;;;;;;;;;;
1824;1;1824/01/03;104;215;BELLES-LETTRES;Théâtre;Français;Les Aveux singuliers, ou le Mariage nul, comédie en un acte et en prose;M. de Saur, maître des requêtes;http://ark.bnf.fr/ark:/12148/cb127359824;http://ark.bnf.fr/ark:/12148/cb31302829f;;Justice;;;;;3;1/2;56;;16;in-8°;;;;;1,5;;;;;;;;;;;;;;;;;;;;;;;;;Herhan;Paris;Barba;Paris;Ponthieu;Paris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;1;1824/01/03;105;215;BELLES-LETTRES;Théâtre;Français;Le Tambour de Logrono, ou Jeunesse et Valeur, tableau historique, en un acte, mêlé de couplets. […]  représenté par les jeunes acteurs du théâtre de M. Comte, le 16 décembre 1823.;"Adolphe C***;Combault";"http://ark.bnf.fr/ark:/12148/cb122478951;http://ark.bnf.fr/ark:/12148/cb10568140q";http://ark.bnf.fr/ark:/12148/cb30520618c;"Collectif;Anonyme masculin";;;;;;1;1/2;24;;16;in-8°;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C. Chantpie;Paris;madame Huet;Paris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;1;1824/01/03;106;214;BELLES-LETTRES;Théâtre;Français;L’Arc de triomphe, tableau-vaudeville […], représenté sur le théâtre de la Gaîté, le 16 décembre 1823.;"M. Carmouche;M. Emile Vander Burch";"http://ark.bnf.fr/ark:/12148/cb13092781p;http://ark.bnf.fr/ark:/12148/cb129509982";http://ark.bnf.fr/ark:/12148/cb301974366;Collectif;;;;;;2;3/4;44;;16;in-8°;;;;;0,5;;;;;;;;;;;;;;;;;;;;;;;;;Hardy;Paris;madame Huet;Paris;Barba;Paris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;1;1824/01/03;107;227;BELLES-LETTRES;Polygraphes;Français;"Œuvres complètes de J. J. Rousseau, mises dans un nouvel ordre ; avec des notes historiques et des éclaircissements (Tome VIII). Littérature : la nouvelle Héloïse. Tome Ier. Par Musset-Pathay";J. J. Rousseau;http://ark.bnf.fr/ark:/12148/cb119228797;http://ark.bnf.fr/ark:/12148/cb312571136;Pseudonyme;;;;Musset-Pathay;http://ark.bnf.fr/ark:/12148/cb12164733q;57;3/4;924;;16;in-8°;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;Gaultier-Laguionie;Paris;P. Dupont;Paris;;;;;;;;;;;;;;;;;"""C'est le cinquième volume dans l'ordre de la publication.""";;;;;;;;;;;;;;;;
1824;1;1824/01/03;116;208;BELLES-LETTRES;Poétique et Poésie;Français;Mon hommage à S. A. R. Mgr le duc d’Angoulême, généralissime de l'armée d'Espagne, et à ses braves compagnons d'armes.;Capelle;http://ark.bnf.fr/ark:/12148/cb122478951;http://ark.bnf.fr/ark:/12148/cb30193716f;;;;;;;1;;8;;8;in-4°;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Casimir;Paris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;1;1824/01/03;117;203;BELLES-LETTRES;Poétique et Poésie;Français;Epître à mes amis sur le premier jour de l'an;M. Viennet;http://ark.bnf.fr/ark:/12148/cb124598832;http://ark.bnf.fr/ark:/12148/cb31574833z;;;;;;;;1/2;8;;16;in-8°;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tastu;Paris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;1;1824/01/03;118;206;BELLES-LETTRES;Poétique et Poésie;Français;Nouvelles de l’autre monde et souvenirs de celui-ci;J. F. Chatelain;http://ark.bnf.fr/ark:/12148/cb12951022k;http://ark.bnf.fr/ark:/12148/cb30228578c;;;;;;;6;;216;;36;in-18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;F. Didot;Paris;Ladvocat;Paris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;1;1824/01/03;119;204;BELLES-LETTRES;Poétique et Poésie;Français;Chansons et Poésies;B. de Rougemont;http://ark.bnf.fr/ark:/12148/cb13009213n;http://ark.bnf.fr/ark:/12148/cb300495807;;;;;;;5;1/2;198;;36;in-18;;une planche;1;;;;;;;;;;;;;;;;;;;;;;;;;;;Béraud;Paris;Masson;Paris, rue Hautefeuille, n.14.;;;;;;;;;;;;;;;;;"""Le frontispice porte le millésime de 1824 ; mais au bas de la première page de chaque feuille on lit 1822 ; c'est pour la troisième fois qu'on reproduit la même édition. (Voyez n. 1520 et 5755 de 1822.).""";;;;;;;;;;;;;;;;
1824;1;1824/01/03;121;212;BELLES-LETTRES;Théâtre;Français;Les Femmes volantes, vaudeville féérie en deux actes […], représenté sur le théâtre du Vaudeville le 20 décembre 1823;Achille Dartois;"http://ark.bnf.fr/ark:/12148/cb145439071;http://ark.bnf.fr/ark:/12148/cb12951038z;http://ark.bnf.fr/ark:/12148/cb11926319z";http://ark.bnf.fr/ark:/12148/cb30032281v;;;;;;;2;1/2;40;;16;in-8°;;;;;1,5;;;;;;;;;;;;;;;;;;;;;;;;;Hocquet;Paris;Duvernois;Paris;;;;;;;;;;;;;;;;;;"""En collaboration avec Armand Dartois et Théaulon, d'après Quérard."" (BnF)
Source : https://catalogue.bnf.fr/ark:/12148/cb30032281v";;;;;;;;;;;;;;;
1824;1;1824/01/03;122;211;BELLES-LETTRES;Théâtre;Français;"La Reine de Portugal, tragédie en cinq actes […] ; représentée sur le second Théâtre-Français, le 20 octobre 1823.";Firmin Didot;http://ark.bnf.fr/ark:/12148/cb12434445s;http://ark.bnf.fr/ark:/12148/cb303412115;;;;;;;6;1/2;104;;16;in-8°;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;F. Didot;Paris;F. Didot;Paris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;1;1824/01/03;123;215;BELLES-LETTRES;Théâtre;Français;Le Retour d’Espagne, vaudeville en un acte;L. M. D. P.;http://ark:/12148/cb103259401;http://ark.bnf.fr/ark:/12148/cb31113716x;Anonyme;;;;;;3;1/4;52;;16;in-8°;;;;;1,25;;;;;;;;;;;;;;;;;;;;;;;;;Pinard;Paris;Ladvocat;Paris;Barba;Paris;Ponthieu;Paris;Delaunay;Paris;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;1;1824/01/03;124;211;BELLES-LETTRES;Théâtre;Français;Maxime, ou Rome livrée, tragédie en cinq actes, représentée sur le Théâtre-Français de l'Odéon, le 17 mars 1823;M. X. V. Drap-Arnaud;http://ark.bnf.fr/ark:/12148/cb107114049;http://ark.bnf.fr/ark:/12148/cb303532397;;;;;;;6;;96;;16;in-8°;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;le Normant fils;Paris;l'éditeur Th. Delbare;Paris, rue de l'Observance, n. 10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;1;1824/01/03;125;216;BELLES-LETTRES;Romans et Contes;Français;Voyage d’Anacharsis en Grèce vers le milieu du 4e siècle, avant l'ère vulgaire. Tome VII;J. J. Barthélemy;http://ark.bnf.fr/ark:/12148/cb12120617d;http://ark.bnf.fr/ark:/12148/cb30061995v;;;;;;;27;5/8;442;;16;in-8°;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P. Didot l'aîné;Paris;E. A. Lequien;Paris;;;;;;;;;;;;;;;;;-1822;;;;;;;;;;;;;;;;
1824;1;1824/01/03;149;199;BELLES-LETTRES;Poétique et Poésie;Latin;Juliani carmen ad Phœbum, ineunte anno reparatæ salutis MDCCCXXIV, ætatis ferreæ 6537;Julianus;http://ark:/12148/cb10569755n;http://ark.bnf.fr/ark:/12148/cb30666981d;;;;;;;2;1/2;40;;16;in-8°;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Pochard;Paris;Fanjat aîné;Paris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;1;1824/01/03;150;226;BELLES-LETTRES;Polygraphes;"Français;Latin";Œuvres complètes de Cicéron, traduites en français avec le texte en regard. Edition publiée par Jos. Vict. Leclerc, professeur de rhétorique, au collège royal de Charlemagne. XXIXe volume.;Cicéron;http://ark.bnf.fr/ark:/12148/cb11885977m;http://ark.bnf.fr/ark:/12148/cb302424302;;Enseignement;Jos. Vict. Leclerc, professeur de rhétorique, au collège royal de Charlemagne;http://ark.bnf.fr/ark:/12148/cb12073790b;Jos. Vict. Leclerc, professeur de rhétorique, au collège royal de Charlemagne;http://ark.bnf.fr/ark:/12148/cb12073790b;32;;512;;16;in-8°;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Crapelet;Paris;Lefebvre;Paris;;;;;;;;;;;;;;;;;"""(1823) […] Ce volume (le 28e dans l'ordre de publication) contient les anciens et nouveaux fragmens des ouvrages perdus de Cicéron, traduction nouvelle par J. V. L.""";;;;;;;;;;;;;;;;
1824;1;1824/01/03;152;209;BELLES-LETTRES;Poétique et Poésie;Français;Les Admirateurs de l’illustre monsieur Biagioli, dans le moment de le perdre, exhalent leurs regrets par les vers suivans;les admirateurs de l'illustre monsieur Biagioli;[admirateurs de l'illustre monsieur Biagioli, les];http://ark.bnf.fr/ark:/12148/cb33234680v;Pseudonyme collectif;Autres;;;;;;1/2;4;;8;in-4°;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hocquet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;2;1824/01/10;153;223;BELLES-LETTRES;Philologie, Critique, Mélanges;Français;Discours, opinions et rapports sur divers sujets de législation, d'instruction publique et de littérature;M. le baron Silvestre de Sacy;http://ark.bnf.fr/ark:/12148/cb119247783;http://ark.bnf.fr/ark:/12148/cb31275800q;;Noblesse;;;;;32;3/4;524;;16;in-8°;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;Belin;Paris;Debure frères;Paris;;;;;;;;;;;;;;;;;"""1823""";;;;;;;;;;;;;;;;
1824;2;1824/01/10;155;211;BELLES-LETTRES;Théâtre;Français;"Ecole des vieillards, comédie en cinq actes et en vers ; représentée le 6 décembre 1823, par les comédiens ordinaires du roi. Quatrième édition";Casimir Delavigne;http://ark.bnf.fr/ark:/12148/cb12052639n;;;;;;;;10;1/2;168;;16;in-8°;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;Pinard;Paris;Barba;Paris;Ladvocat;Paris;;;;;;;;;;;;;;;"""Conforme à la seconde édition. V. n° 5864 de 1823.""";;;;;;;;;;;;;;;;
1824;2;1824/01/10;160;223;BELLES-LETTRES;Philologie, Critique, Mélanges;Français;L’Agent de change pris en flagrant délit, extrait des mémoires de M. Artigue, ancien administrateur de la marine;M. Artigue, ancien administrateur de la marine;http://ark:/12148/cb10721528s;http://ark.bnf.fr/ark:/12148/cb300321880;;"Armée et maintien de l'ordre;Administration";;;;;1;1/4;20;;16;in-8°;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;Moreau;Paris;au salon littéraire;Paris, rue Feydeau, n. 11;;;;;;;;;;;;;;;;;"""Prix au profit des pauvres.""";;;;;;;;;;;;;;;;
1824;2;1824/01/10;161;209;BELLES-LETTRES;Poétique et Poésie;Français;Roland furieux, poëme héroïque de l’Arioste. Par le comte de Tressan;L'Arioste;http://ark.bnf.fr/ark:/12148/cb11889084c;http://ark.bnf.fr/ark:/12148/cb30026966n;;Noblesse;M. le comte de Tressan;http://ark.bnf.fr/ark:/12148/cb121331932;M. le comte de Tressan;http://ark.bnf.fr/ark:/12148/cb121331932;40;5/6;1470;6;36;in-18;;6 planches;6;;;;;;;;;;;;;;;;;;;;;;;;;;;Bredif;l'Aigle;Denn;Paris;;;;;;;;;;;;;;;;;;Tressan traducteur d'après la notice de la BnF.;;;;;;;;;;;;;;;
1824;2;1824/01/10;162;209;BELLES-LETTRES;Poétique et Poésie;Français;Roland l’Amoureux, extrait de Matheo Maria Boyardo, comte de Scandiano. Tome VIIe;Matheo Maria Boyardo, comte de Scandiano;http://ark.bnf.fr/ark:/12148/cb12071212p;http://ark.bnf.fr/ark:/12148/cb30026966n;;Noblesse;M. le comte de Tressan;http://ark.bnf.fr/ark:/12148/cb121331932;;;5;1/2;198;;36;in-18;;une planche;1;;;;;;;;;;;;;;;;;;;;;;;;;;;Bredif;l'Aigle;F. Denn;Paris;;;;;;;;;;;;;;;;;"""Ce volume est intitulé : Tome septième, parce qu'il est destiné à être joint aux six de Roland furieux. V. n. 161.""";Tressan traducteur d'après les notices de la BnF.;;;;;;;;;;;;;;;
