Date;Livraison;Année;N° de notice;Page;Catégorie;Sous-catégorie;Langue;Titre;Auteur;Posture;Affichage identitaire;Traducteur;Para-auteur;Nombre de feuilles;Fraction;Nombre de pages;Nombre de volumes;Format;Tirage 1;Illustrations 1;Nombre d'illustrations 1;Type de papier 1;Prix 1;Tirage 2;Illustrations 2;Nombre d'illustrations 2;Type de papier 2;Prix 2;Tirage 3;Illustrations 3;Nombre d'illustrations 3;Type de papier 3;Prix 3;Edition;Lieu d'édition;Imprimeur;Lieu d’impression;Lieu de vente 1;Libraire 1;Lieu de vente 2;Libraire 2;Lieu de vente 3;Libraire 3;Lieu de vente 4;Libraire 4;Lieu de vente 5;Libraire 5;Lieu de vente 6;Libraire 6;Lieu de vente 7;Libraire 7;Lieu de vente 8;Libraire 8;Lieu de vente 9;Libraire 9;Commentaires des bibliographes;Notes (e-BdF);Lien notice catalogue;Nombre de para-auteurs;Type de livre;Type d'illustrations 1;Type d'illustrations 2;Type d'illustrations 3;Lieu de parution;Orfèvre;Liens notice catalogue;LIBRAIRE 1;LIBRAIRE 2;LIBRAIRE 3;LIBRAIRE 4;LIBRAIRE 5;LIBRAIRE 6;LIBRAIRE 7;LIBRAIRE 8;LIBRAIRE 9;Nome;Prénom;Surnom;Sexe;Age;Nationalité;Importance;Biographie;Bibliographie;Nombre de illustrations;Type de papier;Prix
1836/04/02;14;1836;1606;198;BELLES-LETTRES;Introduction et Langues;Français;Études hébraïques. Grammaire.;abbé Auguste Latouche;;Religion;;;8 1/2;;136;;in-8°;;;;;;;;;;;;;;;;;;Dondey-Dupré;Paris;Paris, rue Clément, n. 1;chez l'auteur;Paris, rue Vivienne, n. 2;Dondey-Dupré;Paris, rue du Vieux-Colombier, n. 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/04/02;14;1836;1609;212;BELLES-LETTRES;Théâtre;Français;"Flore et Zéphyr. Folie-vaudeville en un acte; représentée sur le théâtre de l'Ambigu-Comique, le 9 février 1834.";"M. Augustin Lagrange;M. Eugène Cormon";Collectif;;;;0 3/4;;12;;in-8°;;;;;0,15;;;;;;;;;;;;;Dondey-Dupré;Paris;Paris, boulevart Saint-Martin, n. 12;Marchant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/04/02;14;1836;1611;207;BELLES-LETTRES;Poétique et Poésie;Français;La Gaudriole de 1835. Recueil des meilleures chansons facétieuses, critiques, bachiques et grivoises.;"M. Béranger;M. Désaugiers;M. Debraux";Collectif;;;;3;;192;;in-32;;;;;;;;;;;;;;;;;;Mme veuve Brugnot;Dijon;Paris;marchands de nouveautés;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/04/02;14;1836;1617;223;BELLES-LETTRES;Philologie, Critique, Mélanges;Français;Instruction primaire et secondaire. Nouvelles leçons de littérature et de morale.;un professeur de l'université;Pseudonyme;"Enseignement;Université";;;8;;288;2;in-18;;;;;;;;;;;;;;;;;;Mme veuve Bastien;Toul;Paris, rue des Mathurins-St-Jacques, n. 5;Delalain;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/04/02;14;1836;1621;204;BELLES-LETTRES;Poétique et Poésie;Français;Invitation pascale à tous, parce que Jésus-Christ étant mort pour tous, Dieu, bon et juste, rendra à chacun selon ses œuvres. Deuxième édition, revue et corrigée.;un domestique de la foi, octogénaire, prêtre malgré son indignité;Pseudonyme masculin;"Religion;Âge";;;0 1/4;;4;;in-8°;;;;;1,0;;;;;;;;;;;;;le Normant;Paris;Paris, rue Saint-Severin, n. 4;Jérôme;;;;;;;;;;;;;;;;;Chez Jérôme, rue Saint-Severin, n. 4, qui en donne un exemplaire, pour l'amour de Dieu, à chacun de ceux qui viennent lui en demander. Prix catholique : 1-0. En vers.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/04/02;14;1836;1624;210;BELLES-LETTRES;Théâtre;Français;Lord Novart. Comédie en cinq actes et en prose. Par M. Empis. Représentée sur le Théâtre-Français, par les comédiens ordinaires du roi, le 27 février 1836.;M. Empis;Pseudonyme collectif;Beaux-Arts;;comédiens ordinaires du roi;8 1/2;;136;;in-8°;;;;;4,0;;;;;;;;;;;;;Duverger;Paris;Paris, Palais-Royal;Barba;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/04/02;14;1836;1625;219;BELLES-LETTRES;Romans et Contes;Français;Mademoiselle de Montpensier. Histoire du tems de la Fronde (1652).;M. Théodore Muret;;;;;53 3/4;;860;2;in-8°;;;;;15,0;;;;;;;;;;;;;Locquin;Paris;Paris, rue Vivienne, n. 7;Ambroise Dupont;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/04/02;14;1836;1631;215;BELLES-LETTRES;Théâtre;Français;Napoléon en 1814. Esquisse dramatique en trois scènes, mêlée de couplets. Représentée pour la première fois au théâtre du café Français, le 30 janvier 1836.;Joseph Chautard;;;;;1;;16;;in-8°;;;;;;;;;;;;;;;;;;Bellue;Toulon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/04/02;14;1836;1636;225;BELLES-LETTRES;Polygraphes;Français;Œuvres complètes de Bossuet, évêque de Meaux. Tome I.;Bossuet, évêque de Meaux;;"Contexte géographique;Religion";;;44 3/4;;716;;in-8°;;un portrait;1;;7,50;;;;;;;;;;;;;Everat;Paris;Paris, rue de l'Eperon, n. 6;Lefèvre;Paris, rue Jacob, n. 24;F. Didot;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/04/02;14;1836;1637;209;BELLES-LETTRES;Poétique et Poésie;Français;Œuvres complètes de Lord Byron, avec notes et commentaires, comprenant ses Mémoires publiés par Thomas Moore. Traduction nouvelle, par M. Paulin Pâris. Seconde édition. Tome X.;Lord Byron;;Noblesse;M. Paulin Pâris;Thomas Moore;30 3/8;;486;;in-8°;;;;;2,25;;;;;;;;;;;;;Mme veuve Dondey-Dupré;Paris;Paris, rue Vivienne, n. 2;Mme veuve Dondey-Dupré;;;;;;;;;;;;;;;;;L'édition aura 13 volumes.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/04/02;14;1836;1639;208;BELLES-LETTRES;Poétique et Poésie;Français;Panthéisme poétique de Dante. Cours d'études sur l'esprit de la divine comédie.;M. Luigi Cicconi, de Rome;;Contexte géographique;;;0 1/2;;8;;in-8°;;;;;;;;;;;;;;;;;;Pihan Delaforest (M.);Paris;;;;;;;;;;;;;;;;;;;La première leçon aura lieu le 25 mars. Prix d'admission pour la totalité du cours : 44 fr. Les souscripteurs seront prévenus de l'heure et du lieu où se donnera ce cours.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/04/02;14;1836;1641;204;BELLES-LETTRES;Poétique et Poésie;Français;Le pas Salhadin. Pièce historiqve en vers, relative aux croisades. Pvbliée povr la première fois d'après le manvscrit de la bibliothèque dv roi. Par G. S. Trebutien.;;Anonyme;;;G. S. Trebutien;2;;32;;in-8°;;;;;;;;;;;;;;;;;;Terzuolo;Paris;Paris, rue des Bons-Enfans, n. 30;Silvestre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/04/02;14;1836;1643;216;BELLES-LETTRES;Romans et Contes;Français;"Paul et Virginie, suivi de la Chaumière indienne. Par J. H. Bernardin de Saint-Pierre ; avec une Notice sur sa vie, écrite par lui-même, et publiée par M. Aimé Martin.";J. H. Bernardin de Saint-Pierre;;;;M. Aimé Martin;6 2/3;;240;;in-18;;;;;2;;;;;;;;;;;;;Mme veuve Brugnot;Dijon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/04/02;14;1836;1650;219;BELLES-LETTRES;Romans et Contes;Français;Pignerol. Histoire du tems de Louis XIV. 1680.;P. L. Jacob;Pseudonyme;;;;47;;752;2;in-8°;;;;;15,0;;;;;;;;;;;;;Mme Poussin;Paris;Paris, rue des Grands-Augustins, n. 22;Renduel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/04/02;14;1836;1653;217;BELLES-LETTRES;Romans et Contes;Français;Le premier pas.;M. Arsène de Cey;;;;;38;;912;4;in-12;;;;;12,0;;;;;;;;;;;;;Henry;Paris;Paris, quai des Augustins, n. 25;Audin;Paris, rue St-André-des-Arts, n. 33;Ollivier;Paris;Pougin;Paris;Corbet;Paris;Schwartz et Gagnot;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/04/02;14;1836;1657;206;BELLES-LETTRES;Poétique et Poésie;Français;Promenade au cimetière de Pau.;L. B.....;Anonyme;;;;0 1/2;;8;;in-8°;;;;;;;;;;;;;;;;;;Veronèse fils;Pau;;;;;;;;;;;;;;;;;;;En vers. Signé : L. B.....;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
