Année;Livraison;Date;N° de notice;Page;Catégorie;Sous-Catégorie;Langue;Titre;Auteur;Identifiant auteur;Posture;Affichage identitaire;Traducteur;Identifiant traducteur;Para-auteur;Identifiant para-auteur;Nombre de feuilles;Fraction;Nombre de pages;Volumes;Format;Tirage 1;Illustrations 1;Nombre d'illustrations 1;Type de papier 1;Prix 1;Tirage 2;Illustrations 2;Nombre d'illustrations 2;Type de papier 2;Prix 2;Tirage 3;Illustrations 3;Nombre d'illustrations 3;Type de papier 3;Prix 3;Edition;Lieu d'édition;Imprimeur;Lieu d'impression;Lieu de vente 1;Libraire 1;Lieu de vente 2;Libraire 2;Lieu de vente 3;Libraire 3;Lieu de vente 4;Libraire 4;Lieu de vente 5;Libraire 5;Lieu de vente 6;Libraire 6;Lieu de vente 7;Libraire 7;Lieu de vente 8;Libraire 8;Lieu de vente 9;Libraire 9;Commentaires des bibliographes;Notes (e-BdF);Lien notice catalogue
1823;45;1823/11/08;4844;174;BELLES-LETTRES;Rhétorique et Eloquence;Français;"Conseils d'Isocrate à Demonique; édition collationnée sur les textes les plus purs. Procédé stéréotype de MM. le marquis de Paroy et Durouchail";Isocrate;;;;;;;;1;;24;;In-12;;;;;;;;;;;;;;;;;;Cosson;;Paris;Lesage;;;;;;;;;;;;;;;;;;;
1823;45;1823/11/08;4845;174;BELLES-LETTRES;Rhétorique et Eloquence;Français;Isocrate, éloge d'Evagoras, édition collationnée sur les textes les plus purs. Procédé stéréotype de MM. le marquis de Paroy et Durouchail;Isocrate;;;;;;;;1 1/3;;32;;In-12;;;;;;;;;;;;;;;;;;Cosson;;Paris;Lesage;;;;;;;;;;;;;;;;;;;
1823;45;1823/11/08;4847;176;BELLES-LETTRES;Poétique et Poésie;"Français;Latin";L'Enéide, traduite en vers français par J. Delille. Troisième édition, revue et corrigée, avec les variantes, des notes et des remarques sur les principales beautés du texte. Par J. Delille et MM. de Fontanes, Michaud et Valckenaer.;;;Anonyme;;J. Delille;;"J. Delille;M. de Fontanes;M. Michaud;M. Valckenaer";;33 4/5;;;4;In-18;;;;;;;;;;;;;;;;;;Herhan;;Paris;L. G. Michaud;;;;;;;;;;;;;;;;;Le texte est en regard. Les faux-titres portent : OEuvres de J. Delille. (Tomes III, IV, V, VI.);;
1823;46;1823/11/15;4865;201;BELLES-LETTRES;Polygraphes;Français;Oeuvres de Lesage, précédées des éloges de Lesage, qui ont partagé le prix d'éloquence, décerné par Académie française, dans sa séance du 24 août 1822, par MM. Maltourne et Patin, et ornées de figure;Lesage;;;;;;;;54 1/2;;872;2;In-8°;;;;;;;;;;;;;;;;;;Huzard-Courcier;;Paris;Bouland-Tardieu;;;;;;;;;;;;;;;;;Les faux-titres portent : Œuvres de Lesage et Prévost. Ces deux volumes font partie de la cinquième livraison. V. n° 1071 et 2487.;Je pense que les textes de Malitourne et Patin ne sont pas reproduits dans chaque volume.;
1823;46;1823/11/15;4866;201;BELLES-LETTRES;Polygraphes;Français;"Oeuvres de Prévost, précédées des éloges de Lesage, qui ont partagé le prix d'eloquence décerné par l'Académie française, dans sa séance du 24 août 1822, par MM. Malitourne et Patin; et ornées de figures. Tomes XII, XIII et XIV";Prévost;;;;;;;;95;;1520;3;In-8°;;;;;;;;;;;;;;;;;;Huzard-Courcier;;Paris;BoullandTardieu;;;;;;;;;;;;;;;;;Les faux-titres portent : Œuvres de Lesage et Prévost (Tomes XXVIII, XXIX, XXX). Ces volumes font partie de la cinquième livraison. V. n° 1071 et 2487.;Je pense que les textes de Malitourne et Patin ne sont pas reproduits dans chaque volume.;
1823;46;1823/11/15;4867;196;BELLES-LETTRES;Romans;Français;Les Bohémiens, ou l'Ecossais parvenu. Traduit de l'anglais par M***.;l'auteur du Nécromancien irlandais, etc.;;"Pseudonyme;Anonyme";Métiers du livre;M***, auteur de Jeunesse et Folie, etc.;;;;50 1/2;;1212;5;In-12;;;;;;;;;;;;;;;;;;Jalabert;;Paris;Pigoreau;Paris;Corbet;Paris;Masson;;;;;;;;;;;;;;;
1823;46;1823/11/15;4868;195;BELLES-LETTRES;Romans;Français;"La Victime persécutée, ou les Malheurs de don Raphael d'Aquillas, roman historique du commencement du 17° siècle; traduit de l'allemand d'Aug. Lafontaine. Par le baron ***.";Aug. Lafontaine;;Anonyme masculin;Noblesse;le baron ***;;;;22 1/2;;540;3;In-12;;;;;7,5;;;;;;;;;;;;;Marchand Dubreuil;;Paris;Corbet aîné;;;;;;;;;;;;;;;;;;;
1823;46;1823/11/15;4869;196;BELLES-LETTRES;Romans;Français;"Contes de mon Hôte; - Le château de Pontefract, traduit de l'anglais par Mme Collet, seconde édition";sir Walter Scott;;Nom féminin;"Noblesse;Épouse";Mme Collet;;;;68 1/4;;1092;4;petit in-8°;;;;;;;;;;;;;;;;;;Haener;;Paris;Lecointe et Durey;;;;;;;;;;;;;;;;;;;
1823;46;1823/11/15;4870;195;BELLES-LETTRES;Romans;Français;Rose de Counival, ou la Chronique de la Vallée, suivie d'une Notice sur Agnès Sorel. Par M. Ph. De Pas….;M. Ph. de Passac;;;;;;;;30;;720;3;in-12;;;;;;;;;;;;;;;;;;V. Verdier;;Paris;Lecointe et Durey;Paris;Pigoreau;Paris;Corbet;Blois;Aucher Eloy;;;;;;;;;;;Sur le dos de la couverture imprimée, le nom de l'auteur est écrit en entier Passac.;;
1823;46;1823/11/15;4871;195;BELLES-LETTRES;Romans;Français;L'auberge des Cévennes, ou le Spectre des ruines;madame M. A. Benoist;;Nom féminin;Épouse;;;;;20 1/3;;488;2;in-12;;;;;;;;;;;;;;;;;;Moisand;;Paris;Lecointe et Durey;;;;;;;;;;;;;;;;;;;
