Année;Livraison;Date;Numéro;Page;Catégorie;Sous-Catégorie;Langue;Titre;Auteur;Identifiant auteur;Identifiant ouvrage;Posture;Affichage identitaire;Traducteur;Identifiant traducteur;Para-auteur;Identifiant para-auteur;Nb de feuilles;Fraction;Nombre de pages;Volumes;Calcul;Format;Tirage 1;Illustration 1;Nombre d'illustrations 1;Type de papier 1;Prix 1;Tirage 2;Illustration 2;Nombre d'illustrations 2;Type de papier 2;Prix 2;Tirage 3;Illustration 3;Nombre d'illustrations 3;Type de papier 3;Prix 3;Tirage 4;Type de papier 4;Tirage 5;Type de papier 5;Tirage 6;Type de papier 6;Tirage 7;Type de papier 7;Tirage 8;Type de papier 8;Tirage 9;Type de papier 9;Edition;Lieu d'édition;Impression;Lieu d'impression;Librairie 1;Lieu de vente 1;Librairie 2;Lieu de vente 2;Librairie 3;Lieu de vente 3;Librairie 4;Lieu de vente 4;Librairie 5;Lieu de vente 5;Librairie 6;Lieu de vente 6;Librairie 7;Lieu de vente 7;Librairie 8;Lieu de vente 8;Librairie 9;Lieu de vente 9;Commentaires des bibliographes contenus dans la notice;Notes (e-BdF);Unnamed: 75;Unnamed: 76;Unnamed: 77;Unnamed: 78;Unnamed: 79;Unnamed: 80;Unnamed: 81;Unnamed: 82;Unnamed: 83;Unnamed: 84;Unnamed: 85;Unnamed: 86;Unnamed: 87;Unnamed: 88;Unnamed: 89;Dernier lien de recherche;Ouvrage_prédit;Auteur_prédit;Autre_auteur_prédit
1824;9;1824/02/28;1132;208;BELLES-LETTRES;Poétique et Poésie;Français;L’Espagne délivrée, poëme par Chr. Baron, électeur;Chr. Baron, électeur;http://ark.bnf.fr/ark:/12148/cb10209976d;http://ark.bnf.fr/ark:/12148/cb30058301h;;Autres;;;;;1;;16;;16;in-8°;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Didot le jeune;Paris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"https://catalogue.bnf.fr/search.do?mots0=TIT;-1;0;L’Espagne+délivrée&mots1=DAT;0;1;1823+1824+1825&mots2=NRI;0;0;Baron&mots3=NRC;0;1;le+jeune&mots4=ALL;0;1;+poëme+par+Chr.+Baron,+électeur&facDocs=a&&pageRech=rav";https://catalogue.bnf.fr/ark:/12148/cb30058301h;Baron, Chr. [ https://catalogue.bnf.fr/ark:/12148/cb10209976d ];
1824;9;1824/02/28;1133;208;BELLES-LETTRES;Poétique et Poésie;Français;La Guerre d’Espagne, poëme en stances régulières qui a concouru pour le prix décerné par la société royale des bonnes lettres dans la séance du 6 février. Par M. le chevalier de Fonvielle de Toulouse, secrétaire perpétuel de l'académie royale des ignorans, auteur de deux poëmes antérieurs publiés sur le même sujet, l'un le 30 juillet, l'autre le 15 décembre 1823.;M. le chevalier de Fonvielle de Toulouse, secrétaire perpétuel de l'académie royale des ignorans, auteur de deux poëmes antérieurs publiés sur le même sujet, l'un le 30 juillet, l'autre le 15 décembre 1823;http://ark.bnf.fr/ark:/12148/cb12187585j;http://ark.bnf.fr/ark:/12148/cb304485037;;"Noblesse;Sociétés savantes;Métiers du livre;Contexte géographique;Autres";;;;;4;1/2;72;;16;in-8°;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;Boucher;Paris;Boucher;Paris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"https://catalogue.bnf.fr/search.do?mots0=TIT;-1;0;La+Guerre+d’Espagne&mots1=DAT;0;1;1823+1824+1825&mots2=NRI;0;0;Toulouse&mots3=ALL;0;1;+poëme+en+stances+régulières+qui+a+concouru+pour+le+prix+décerné+par+la+société+royale+des+bonnes+lettres+dans+la+séance+du+6+février.+Par+M.+le+chevalier+de+Fonvielle+de+Toulouse,+secrétaire+perpétuel+de+l'académie+royale+des+ignorans,+auteur+de+deux+poëmes+antérieurs+publiés+sur+le+même+sujet,+l'un+le+30+juillet,+l'autre+le+15+décembre+1823.&facDocs=a&&pageRech=rav";;;
1824;9;1824/02/28;1134;210;BELLES-LETTRES;Poétique et Poésie;Français;"Buonaparte, par lord Byron ; dédié à M. Casimir Delavigne";lord Byron;http://ark.bnf.fr/ark:/12148/cb11894686q;http://ark.bnf.fr/ark:/12148/cb301815197;;Noblesse;;;;;1;1/2;24;;16;in-8°;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Pinard;Paris;Ladvocat;Paris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"https://catalogue.bnf.fr/search.do?mots0=TIT;-1;0;Buonaparte&mots1=DAT;0;1;1823+1824+1825&mots2=NRI;0;0;Byron&mots3=NRC;0;1;Pinard+Ladvocat&mots4=ALL;0;1;+par+lord+Byron+;+dédié+à+M.+Casimir+Delavigne&facDocs=a&&pageRech=rav";https://catalogue.bnf.fr/ark:/12148/cb301815197;Byron, George Gordon (1788-1824) [ https://catalogue.bnf.fr/ark:/12148/cb11894686q ];
1824;9;1824/02/28;1135;206;BELLES-LETTRES;Poétique et Poésie;Français;Essais poétiques;Mlle Delphine Gay;http://ark.bnf.fr/ark:/12148/cb11905056p;http://ark.bnf.fr/ark:/12148/cb30510577d;Nom féminin;Célibataire;;;;;7;1/4;116;;16;in-8°;;1 planche;1;;;;;;;;;;;;;;;;;;;;;;;;;;;Gaultier-Laguionie;Paris;Chez l'auteur;Paris, rue Louis-le-Grand, n. 21 (ter);Dupont;Paris;Delaunay;Paris;Ponthieu;Paris;Bouland;Paris;;;;;;;;;;;;;;;;;;;;;;;;;;"https://catalogue.bnf.fr/search.do?mots0=TIT;-1;0;Essais+poétiques&mots1=DAT;0;1;1823+1824+1825&mots2=NRI;0;0;Gay&mots3=NRC;0;1;Gaultier-Laguionie+l'auteur&mots4=ALL;0;1;&facDocs=a&&pageRech=rav";https://catalogue.bnf.fr/ark:/12148/cb30510577d , https://catalogue.bnf.fr/ark:/12148/cb305105793;Girardin, Delphine de (1804-1855) [ https://catalogue.bnf.fr/ark:/12148/cb11905056p ];
1824;9;1824/02/28;1136;195;BELLES-LETTRES;Langues;Français;Dictionnaire français-grec, composé sur le plan des meilleurs dictionnaires français-latins, enrichi d'un vocabulaire de noms propres et d'une table très-complète de tous les verbes irréguliers ou difficiles. ;"M. Planche, professeur de rhétorique au collége royal de Bourbon;M. Alexandre, professeur de rhétorique au collège royal de Saint- Louis;M. Defaucompret, préfet des études au collége de Sainte-Barbe.";"http://ark.bnf.fr/ark:/12148/cb12512496z;http://ark.bnf.fr/ark:/12148/cb12564863m;http://ark.bnf.fr/ark:/12148/cb30309492n";http://ark.bnf.fr/ark:/12148/cb31120083m;Collectif;"Enseignement;Contexte géographique";;;;;55;5/8;890;;16;in-8°;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cosson;Paris;Lesage;Paris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"https://catalogue.bnf.fr/search.do?mots0=TIT;-1;0;Dictionnaire+français-grec&mots1=DAT;0;1;1823+1824+1825&mots2=NRI;0;0;Planche+Alexandre+Defaucompret&mots3=ALL;0;1;+composé+sur+le+plan+des+meilleurs+dictionnaires+français-latins,+enrichi+d'un+vocabulaire+de+noms+propres+et+d'une+table+très-complète+de+tous+les+verbes+irréguliers+ou+difficiles.+&facDocs=a&&pageRech=rav";;;
1824;9;1824/02/28;1165;209;BELLES-LETTRES;Poétique et Poésie;Espagnol;La Araucana. Su autor don Alonso de Ercilla y Zuniga, caballero del Orden de Santiago, etc.;don Alonso de Ercilla y Zuniga, caballero del Orden de Santiago, etc.;http://ark.bnf.fr/ark:/12148/cb12175956c;http://ark.bnf.fr/ark:/12148/cb30403207r;;Distinction honorifique;;;;;23;1/3;840;4;36;in-18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rignoux;Paris;Cormon et Blanc;Paris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"https://catalogue.bnf.fr/search.do?mots0=TIT;-1;0;La+Araucana&mots1=DAT;0;1;1823+1824+1825&mots2=NRI;0;0;Zuniga&mots3=NRC;0;1;Rignoux+Blanc&mots4=ALL;0;1;+caballero+del+Orden+de+Santiago,+etc.++Su+autor+don+Alonso+de+Ercilla+y+Zuniga&facDocs=a&&pageRech=rav";https://catalogue.bnf.fr/ark:/12148/cb30403207r;Ercilla y Zúñiga, Alonso de (1533-1594) [ https://catalogue.bnf.fr/ark:/12148/cb12175956c ];
1824;10;1824/03/06;1185;220;BELLES-LETTRES;Romans et Contes;Français;Le Spectre de Saint-Michel, ou Les deux Eléonore, roman écossais, traduit de l'anglais de miss C. D. Haynes : par Mlle Céleste Coville;miss C. D. Haynes;http://ark.bnf.fr/ark:/12148/cb171468881;http://ark.bnf.fr/ark:/12148/cb305838820;Nom féminin;Célibataire;Mlle Céleste Coville;http://ark.bnf.fr/ark:/12148/cb17152558h;;;46;1/2;1116;4;24;In-12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Glaçon;Mortagne;Pigoreau;Paris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"https://catalogue.bnf.fr/search.do?mots0=TIT;-1;0;Le+Spectre+de+Saint-Michel&mots1=DAT;0;1;1823+1824+1825&mots2=NRI;0;0;Haynes&mots3=NRC;0;1;Glaçon+Pigoreau&mots4=ALL;0;1;+ou+Les+deux+Eléonore,+roman+écossais,+traduit+de+l'anglais+de+miss+C.+D.+Haynes+:+par+Mlle+Céleste+Coville&facDocs=a&&pageRech=rav";https://catalogue.bnf.fr/ark:/12148/cb305838820;"Haynes, C. D. (17..-18.. ; romancière) [ https://catalogue.bnf.fr/ark:/12148/cb171468881 ]";"Coville, Céleste (17..-18.. ; traductrice) [ https://catalogue.bnf.fr/ark:/12148/cb17152558h ]"
1824;10;1824/03/06;1186;217;BELLES-LETTRES;Romans et Contes;Français;La Chaumière africaine ou Histoire d'une famille francaise jetée sur la côte occidentale de l'Afrique, à la suite du naufrage de la frégate la Méduse;Mme Dard, née Charlotte-Adélaïde Picard, aînée de cette famille, l'une des naufragés de la Méduse.;http://ark.bnf.fr/ark:/12148/cb13013231b;http://ark.bnf.fr/ark:/12148/cb30300233d;Nom féminin;"Autres;Épouse;Liens familiaux";;;;;13;1/2;324;;24;In-12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Noëllat;Dijon;Noëllat;Dijon;chez l'auteur;Bligny sous Beaune;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"https://catalogue.bnf.fr/search.do?mots0=TIT;-1;0;La+Chaumière+africaine+ou+Histoire+d'une+famille+francaise+jetée+sur+la+côte+occidentale+de+l'Afrique&mots1=DAT;0;1;1823+1824+1825&mots2=NRI;0;0;Dard&mots3=NRC;0;1;Noëllat+Noëllat&mots4=ALL;0;1;+à+la+suite+du+naufrage+de+la+frégate+la+Méduse&facDocs=a&&pageRech=rav";https://catalogue.bnf.fr/ark:/12148/cb30300233d;Dard, Charlotte (1798-1862) [ https://catalogue.bnf.fr/ark:/12148/cb13013231b ];
1824;10;1824/03/06;1187;217;BELLES-LETTRES;Romans et Contes;Français;Le Mulâtre;Mme Aurore Cloteaux;http://ark.bnf.fr/ark:/12148/cb16081724t;http://ark.bnf.fr/ark:/12148/cb30795459d;"Nom féminin;Pseudonyme collectif";Épouse;;;;;39;1/2;948;4;24;In-12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Carpentier-Méricourt;Paris;Carpentier-Méricourt;Paris;;;;;;;;;;;;;;;;;;Pseudonyme collectif de Balzac et d'Auguste Lepoitevin.;;;;;;;;;;;;;;;;"https://catalogue.bnf.fr/search.do?mots0=TIT;-1;0;Le+Mulâtre&mots1=DAT;0;1;1823+1824+1825&mots2=NRI;0;0;Cloteaux&mots3=NRC;0;1;Carpentier-Méricourt+Carpentier-Méricourt&mots4=ALL;0;1;&facDocs=a&&pageRech=rav";https://catalogue.bnf.fr/ark:/12148/cb30795459d;Cloteaux, Aurore [ https://catalogue.bnf.fr/ark:/12148/cb16081724t ];
1824;10;1824/03/06;1188;200;BELLES-LETTRES;Poétique et Poésie;Français;Œuvres choisies de Gresset, avec un essai sur sa vie, et une romance inédite, musique de J. J. Rousseau;Gresset;http://ark.bnf.fr/ark:/12148/cb12563936r;http://ark.bnf.fr/ark:/12148/cb305403853;;;;;"J. J. Rousseau;M. P. Hédouin";"http://ark.bnf.fr/ark:/12148/cb12004533r;http://ark.bnf.fr/ark:/12148/cb103571209";17;;408;;24;In-12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Leroy Berger;Boulogne;Berger;Boulogne;;;;;;;;;;;;;;;;;"""plus une planche de musique""
""L'essai sur la vie et les ouvrages de Gresset est de M. P. Hédouin. La romance annoncée comme inédite est l'Idylle intitulée : Le Siècle pastoral.""";;;;;;;;;;;;;;;;;"https://catalogue.bnf.fr/search.do?mots0=TIT;-1;0;Œuvres+choisies+de+Gresset&mots1=DAT;0;1;1823+1824+1825&mots2=NRI;0;0;Gresset&mots3=NRC;0;1;Berger+Berger&mots4=ALL;0;1;+avec+un+essai+sur+sa+vie,+et+une+romance+inédite,+musique+de+J.+J.+Rousseau&facDocs=a&&pageRech=rav";https://catalogue.bnf.fr/ark:/12148/cb305403853;Gresset, Jean-Baptiste-Louis (1709-1777) [ https://catalogue.bnf.fr/ark:/12148/cb12063085m ];
1824;10;1824/03/06;1189;200;BELLES-LETTRES;Poétique et Poésie;Français;Œuvres complètes de Gresset;Gresset;http://ark.bnf.fr/ark:/12148/cb12563936r;http://ark.bnf.fr/ark:/12148/cb30540374f;;;;;;;16;1/2;1056;3;64;In-32;;6 planches et un portrait;7;;9;;;;;;;;;;;;;;;;;;;;;;;;;F. Didot;Paris;Auguste Boulland et compagnie;Paris;;;;;;;;;;;;;;;;;"""Voyez n. 1190.""";;;;;;;;;;;;;;;;;"https://catalogue.bnf.fr/search.do?mots0=TIT;-1;0;Œuvres+complètes&mots1=DAT;0;1;1823+1824+1825&mots2=NRI;0;0;Gresset&mots3=ALL;0;1;de+Gresset&facDocs=a&&pageRech=rav";https://catalogue.bnf.fr/ark:/12148/cb30540374f;Gresset, Jean-Baptiste-Louis (1709-1777) [ https://catalogue.bnf.fr/ark:/12148/cb12063085m ];
1824;10;1824/03/06;1190;200;BELLES-LETTRES;Poétique et Poésie;Français;Le Parrain magnifique, poëme en dix chants, œuvre posthume de Gresset;Gresset;http://ark.bnf.fr/ark:/12148/cb12563936r;;;;;;;;1;11/16;108;;64;In-32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Firmin Didot;Paris;;;;;;;;;;;;;;;;;;;"""C'est la seconde édition de ce poëme. La première est de 1810, in-8°. L'édition in-32 peut se joindre au n. 1189 de 1824.""";;;;;;;;;;;;;;;;;"https://catalogue.bnf.fr/search.do?mots0=TIT;-1;0;Le+Parrain+magnifique&mots1=DAT;0;1;1823+1824+1825&mots2=NRI;0;0;Gresset&mots3=ALL;0;1;+poëme+en+dix+chants,+œuvre+posthume+de+Gresset&facDocs=a&&pageRech=rav";;;
